y = [0.0], E(1) = 0.3
y = [-0.022], E(2) = 0.27750379610629033
y = [-0.043], E(3) = 0.2567247930592839
y = [-0.062], E(4) = 0.23756048930975152
y = [-0.08], E(5) = 0.21990189935571777
y = [-0.096], E(6) = 0.20363831092202422
y = [-0.111], E(7) = 0.18866092407185142
y = [-0.125], E(8) = 0.1748653834845538
y = [-0.138], E(9) = 0.16215336401994415
y = [-0.15], E(10) = 0.1504334173427263
y = [-0.16], E(11) = 0.1396212806366057
y = [-0.17], E(12) = 0.12963981776856767
y = [-0.18], E(13) = 0.12041872611106
y = [-0.188], E(14) = 0.11189410730307933
y = [-0.196], E(15) = 0.10400797104114831
y = [-0.203], E(16) = 0.09670771826903635
y = [-0.21], E(17) = 0.08994563331208874
y = [-0.216], E(18) = 0.08367840253465444
y = [-0.222], E(19) = 0.07786666888605948
y = [-0.228], E(20) = 0.0724746262659737
y = [-0.233], E(21) = 0.06746965419244916
y = [-0.237], E(22) = 0.06282199118793302
y = [-0.241], E(23) = 0.058504444161510155
y = [-0.246], E(24) = 0.054492130537936556
y = [-0.249], E(25) = 0.05076224974089599
y = [-0.253], E(26) = 0.047293880725924775
y = [-0.256], E(27) = 0.04406780247530895
y = [-0.259], E(28) = 0.04106633464662668
y = [-0.262], E(29) = 0.03827319586678679
y = [-0.264], E(30) = 0.035673377459415845
y = [-0.267], E(31) = 0.03325303067122587
y = [-0.269], E(32) = 0.030999365715631333
y = [-0.271], E(33) = 0.028900561176845474
y = [-0.273], E(34) = 0.026945682515120917
y = [-0.275], E(35) = 0.025124608585308905
y = [-0.277], E(36) = 0.023427965228867642
y = [-0.278], E(37) = 0.021847065126474885
y = [-0.28], E(38) = 0.020373853207141912
y = [-0.281], E(39) = 0.019000857002663407
y = [-0.282], E(40) = 0.01772114141563047
y = [-0.283], E(41) = 0.01652826743707997
y = [-0.285], E(42) = 0.015416254407895236
y = [-0.286], E(43) = 0.014379545467802624
y = [-0.287], E(44) = 0.013412975878511368
y = [-0.287], E(45) = 0.012511743944290055
y = [-0.288], E(46) = 0.011671384284987207
y = [-0.289], E(47) = 0.010887743243946202
y = [-0.29], E(48) = 0.010156956237082626
y = [-0.291], E(49) = 0.009475426870127979
y = [-0.291], E(50) = 0.008839807669153432
y = [-0.292], E(51) = 0.008246982285347537
y = [-0.292], E(52) = 0.007694049048962037
y = [-0.293], E(53) = 0.007178305759619974
y = [-0.293], E(54) = 0.006697235611039742
y = [-0.294], E(55) = 0.006248494157853335
y = [-0.294], E(56) = 0.0058298972407486715
y = [-0.295], E(57) = 0.005439409793794703
y = [-0.295], E(58) = 0.005075135464618519
y = [-0.295], E(59) = 0.004735306984206877
y = [-0.296], E(60) = 0.004418277228584233
y = [-0.296], E(61) = 0.004122510919550848
y = [-0.296], E(62) = 0.0038465769161082353
y = [-0.296], E(63) = 0.003589141052220135
y = [-0.297], E(64) = 0.003348959480191427
y = [-0.297], E(65) = 0.0031248724822474094
y = [-0.297], E(66) = 0.00291579871589398
y = [-0.297], E(67) = 0.002720729861361848
y = [-0.297], E(68) = 0.0025387256419302506
y = [-0.298], E(69) = 0.0023689091901863413
y = [-0.298], E(70) = 0.002210462735355634
y = [-0.298], E(71) = 0.0020626235887322153
y = [-0.298], E(72) = 0.0019246804059773748
y = [-0.298], E(73) = 0.0017959697066490254
y = [-0.298], E(74) = 0.0016758726327869011
y = [-0.298], E(75) = 0.0015638119297277098
y = [-0.299], E(76) = 0.0014592491335568836
y = [-0.299], E(77) = 0.0013616819507497047
y = [-0.299], E(78) = 0.0012706418165990274
y = [-0.299], E(79) = 0.001185691620002316
y = [-0.299], E(80) = 0.0011064235830675062
y = [-0.299], E(81) = 0.0010324572848326996
y = [-0.299], E(82) = 0.0009634378191487047
y = [-0.299], E(83) = 0.000899034077486982
y = [-0.299], E(84) = 0.0008389371480856389
y = [-0.299], E(85) = 0.00078285882345136
y = [-0.299], E(86) = 0.0007305302087979859
y = [-0.299], E(87) = 0.0006817004245172065
y = [-0.299], E(88) = 0.000636135396265336
y = [-0.299], E(89) = 0.0005936167266900605
y = [-0.299], E(90) = 0.0005539406432397143
y = [-0.299], E(91) = 0.000516917016882501
y = [-0.3], E(92) = 0.0004823684469176803
